Image,Grayscale Kernel Time (ms),Prewitt Kernel Time (ms),Block Size
data/objects.png,1.725,0.283,4
data/rooster.png,0.128,0.349,4
data/computer_chip.png,1.222,0.182,4
data/fruit_basket.png,9.025,6.838,4
data/rooster.png,0.188,0.096,8
data/husky_cardinal.png,0.131,6.641,4
data/objects2.png,0.379,0.238,4
data/objects.png,11.330,0.143,8
data/network.png,4.870,0.279,4
data/rooster.png,2.012,0.281,16
data/fruit_basket.png,0.236,0.328,8
data/computer_chip.png,3.420,9.113,8
data/husky_cardinal.png,0.124,15.735,8
data/objects2.png,6.457,0.097,8
data/husky_cardinal.png,0.481,0.164,16
data/computer_chip.png,0.239,0.116,16
data/objects.png,3.252,0.137,16
data/network.png,13.110,0.127,8
data/computer_chip.png,3.096,0.384,32
data/objects2.png,0.109,6.965,16
data/rooster.png,0.079,0.133,32
data/objects.png,0.241,10.215,32
data/fruit_basket.png,13.244,5.358,16
data/husky_cardinal.png,0.353,0.084,32
data/network.png,0.151,0.197,16
data/objects2.png,0.203,0.206,32
data/fruit_basket.png,0.062,0.158,32
data/network.png,0.142,0.088,32
Image,Grayscale Kernel Time (ms),Prewitt Kernel Time (ms),Block Size
data/objects.png,0.170,5.751,4
data/network.png,6.386,0.246,4
data/objects2.png,0.135,0.209,4
data/objects.png,2.553,0.259,8
data/husky_cardinal.png,0.186,3.312,4
data/network.png,0.181,0.352,8
data/computer_chip.png,0.170,0.259,4
data/fruit_basket.png,0.225,0.224,4
data/network.png,0.172,0.230,16
data/rooster.png,0.219,13.730,4
data/objects.png,2.589,0.121,16
data/husky_cardinal.png,4.768,0.638,8
data/objects2.png,0.062,13.571,8
data/fruit_basket.png,0.125,6.472,8
data/network.png,0.341,0.166,32
data/computer_chip.png,4.109,3.011,8
data/rooster.png,0.159,4.775,8
data/objects.png,4.967,0.175,32
data/husky_cardinal.png,14.675,0.325,16
data/fruit_basket.png,0.162,7.054,16
data/computer_chip.png,0.144,0.236,16
data/rooster.png,0.133,0.264,16
data/objects2.png,0.049,0.624,16
data/husky_cardinal.png,3.844,3.281,32
data/rooster.png,0.133,3.914,32
data/computer_chip.png,0.053,0.157,32
data/fruit_basket.png,0.509,0.141,32
data/objects2.png,0.072,0.251,32
